date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:45	180540/180540	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:45%20GMT	http://www.corpoidealsuplementos.com.br/ultimate-whey-pro-990g-3vs-nutrition-7127-p186959	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/ultimate-whey-pro-990g-3vs-nutrition-7127-p186959.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:46	10208/10208	---M--	200	added ('OK')	image/jpeg	etag:%22ab8874fbb5e0b58883436c94f1d998b6%22	http://ci08.ezcdn.com.br/Custom/Content/Products/18/69/186959_Small6.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci08.ezcdn.com.br/Custom/Content/Products/18/69/186959_Small6.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:22:48	170027/170027	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:48%20GMT	http://www.corpoidealsuplementos.com.br/arnold-iron-cre3-126g-musclepharm-7206-p232418	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/arnold-iron-cre3-126g-musclepharm-7206-p232418.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:50	169409/169409	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:49%20GMT	http://www.corpoidealsuplementos.com.br/glutamine-science-recovery-1000-powder-600g-performance-6084-p83116	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/glutamine-science-recovery-1000-powder-600g-performance-6084-p83116.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:50	6498/6498	---M--	200	added ('OK')	image/jpeg	etag:%225cb5c20a427c75cde52ed9e89872d43b%22	http://ci08.ezcdn.com.br/Custom/Content/Products/23/24/232418_Small1.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci08.ezcdn.com.br/Custom/Content/Products/23/24/232418_Small1.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:22:50	5761/5761	---M--	200	added ('OK')	image/jpeg	etag:%2296b21288e0c54752dd73a4aa74e2596c%22	http://ci07.ezcdn.com.br/Custom/Content/Products/83/11/83116_Small1.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci07.ezcdn.com.br/Custom/Content/Products/83/11/83116_Small1.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:23:03	166458/166458	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:23:03%20GMT	http://www.corpoidealsuplementos.com.br/veinox-120-caps-power-supplements-7558-p240253	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/veinox-120-caps-power-supplements-7558-p240253.html	(from http://www.corpoidealsuplementos.com.br/)
10:23:04	3739/3739	---M--	200	added ('OK')	image/jpeg	etag:%22525b2893a432d627ad53ad60f6a4b446%22	http://ci07.ezcdn.com.br/Custom/Content/Products/24/02/240253_Small1.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci07.ezcdn.com.br/Custom/Content/Products/24/02/240253_Small1.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:23:05	127150/127150	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:23:05%20GMT	http://www.corpoidealsuplementos.com.br/listas/compre1-ganhe-outro	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/listas/compre1-ganhe-outro.html	(from http://www.corpoidealsuplementos.com.br/)
10:23:07	166273/166273	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:23:07%20GMT	http://www.corpoidealsuplementos.com.br/infinity-burn-120-caps-infinity-nutrition-7246-p232465	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/infinity-burn-120-caps-infinity-nutrition-7246-p232465.html	(from http://www.corpoidealsuplementos.com.br/)
10:23:08	1831/1831	---M--	200	added ('OK')	image/png	etag:%22b2bda7174b5acf1:0%22	http://ci10.ezcdn.com.br/Custom/Content/Flags/0006_flag.png?p=130	C:/Users/QATEmployee/Desktop/suple/suple/ci10.ezcdn.com.br/Custom/Content/Flags/0006_flag8b4e.png	(from http://www.corpoidealsuplementos.com.br/)
10:23:09	175551/175551	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:23:09%20GMT	http://www.corpoidealsuplementos.com.br/combo-whey-3w-chocolate-no2-expand-shaker-7523-p240190	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/combo-whey-3w-chocolate-no2-expand-shaker-7523-p240190.html	(from http://www.corpoidealsuplementos.com.br/)
10:23:10	6160/6160	---M--	200	added ('OK')	image/jpeg	etag:%22d82327228eec8c9340b49fa815f47e96%22	http://ci08.ezcdn.com.br/Custom/Content/Products/23/24/232465_Small1.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci08.ezcdn.com.br/Custom/Content/Products/23/24/232465_Small1.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:23:11	178556/178556	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:23:11%20GMT	http://www.corpoidealsuplementos.com.br/syntha-6-nova-formula-1080g-bsn-1261-p38629	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/syntha-6-nova-formula-1080g-bsn-1261-p38629.html	(from http://www.corpoidealsuplementos.com.br/)
